population,school_count,distance_k,gap,category,geom
0,0,0.471484541,0,Adequate,"MULTIPOLYGON (((66.97940647816917 24.947540061385236, 66.97933281210088 24.95205281739762, 66.98428273121559 24.9521199035635, 66.98435621712633 24.947607133791156, 66.97940647816917 24.947540061385236)))"
7554.956054687501,0,0.060790242,2266.48681640625,Moderate Deficit,"MULTIPOLYGON (((66.98435621712633 24.947607133791156, 66.98428273121559 24.9521199035635, 66.98923266812832 24.952186825424665, 66.9893059738787 24.947674041926046, 66.98435621712633 24.947607133791156)))"
1592.564208984375,0,0.345752347,477.769262695312,Low Deficit,"MULTIPOLYGON (((66.97933281210088 24.95205281739762, 66.97925912819092 24.95656557047269, 66.98420922750677 24.9566326703995, 66.98428273121559 24.9521199035635, 66.97933281210088 24.95205281739762)))"
312.634033203125,0,0.245613505,93.7902099609375,Low Deficit,"MULTIPOLYGON (((66.98428273121559 24.9521199035635, 66.98420922750677 24.9566326703995, 66.9891593446235 24.956699605987914, 66.98923266812832 24.952186825424665, 66.98428273121559 24.9521199035635)))"
7420.101563,0,0.082492211,2226.030469,Moderate Deficit,"MULTIPOLYGON (((66.98923266812832 24.952186825424665, 66.9891593446235 24.956699605987914, 66.99410947949754 24.95676637723561, 66.99418262279553 24.9522535829788, 66.98923266812832 24.952186825424665)))"
12905.888671875,6,0,871.7666016,Low Deficit,"MULTIPOLYGON (((66.96440893748485 24.956363284685114, 66.96935898313636 24.956430877613162, 66.96939580267978 24.95418700007917, 66.96924013400007 24.954217374000056, 66.96878803600003 24.95427686100004, 66.96837163000004 24.95441962800004, 66.96807419800007 24.954550499000042, 66.96774107300007 24.954907418000058, 66.96718190000007 24.955419002000042, 66.96696774800006 24.955704537000027, 66.96675359700004 24.95568074300007, 66.96659893200007 24.955561770000028, 66.96634908900006 24.955311926000032, 66.96608734800003 24.955121569000024, 66.96586129900004 24.955002596000043, 66.96558766100004 24.95497880200002, 66.96538540700004 24.95510967200004, 66.96511176900003 24.955466591000064, 66.96494520700003 24.95572833200003, 66.96483813100008 24.95600197000004, 66.96468346600005 24.95595438100003, 66.96441807686294 24.955807686611042, 66.96440893748485 24.956363284685114)))"
7957.46533203125,0,1.874211478,2387.23959960938,Moderate Deficit,"MULTIPOLYGON (((66.96440893748485 24.956363284685114, 66.96441807686294 24.955807686611042, 66.96231590200006 24.95464567700003, 66.96168534500003 24.955573667000063, 66.96120489419155 24.956319445700025, 66.96440893748485 24.956363284685114)))"
2719.4619140625,0,0.87394944,815.83857421875,Low Deficit,"MULTIPOLYGON (((66.96440893748485 24.956363284685114, 66.96433469501326 24.960875993334586, 66.96928492090096 24.96094360012561, 66.96935898313636 24.956430877613162, 66.96440893748485 24.956363284685114)))"
9767.0146484375,0,0.29897783,2930.10439453125,Moderate Deficit,"MULTIPOLYGON (((66.97438291082783 24.95198556692936, 66.97444122530767 24.948422060443114, 66.97431584700009 24.94854006300005, 66.97414730900006 24.948724653000053, 66.97406705300006 24.948877139000047, 66.97393864300005 24.949166061000025, 66.97380220800005 24.949567342000023, 66.97377875100007 24.949855971000026, 66.97374921200003 24.950600594000036, 66.97377300700003 24.951231151000055, 66.97383249300003 24.95173083800006, 66.97391848172485 24.951979248647948, 66.97438291082783 24.95198556692936)))"
1534.95751953125,0,0.736422702,460.487255859375,Low Deficit,"MULTIPOLYGON (((66.97438291082783 24.95198556692936, 66.97933281210088 24.95205281739762, 66.97940647816917 24.947540061385236, 66.97576759484896 24.94749064705669, 66.97576045800008 24.947544887000042, 66.97564809900007 24.947649220000073, 66.97531102400006 24.947833809000024, 66.97482948700008 24.948106680000024, 66.97458871800006 24.948283244000034, 66.97444122530767 24.948422060443114, 66.97438291082783 24.95198556692936)))"
17219.53125,0,0.144996623,5165.859375,High Deficit,"MULTIPOLYGON (((66.97438291082783 24.95198556692936, 66.97391848172485 24.951979248647948, 66.97393956900004 24.952040167000064, 66.97420131000007 24.952432779000045, 66.97437383907847 24.952539865907614, 66.97438291082783 24.95198556692936)), ((66.96935898313636 24.956430877613162, 66.97430904671958 24.956498306209806, 66.97434585904499 24.95424938837967, 66.97404664500004 24.95428875800008, 66.97342798500006 24.954395834000024, 66.97305916900007 24.954479115000026, 66.97266655800007 24.95443152600006, 66.97235722800008 24.954383937000046, 66.97211928200005 24.95421737400005, 66.97195271900006 24.954062709000027, 66.97158390300007 24.95393183900006, 66.97106042100006 24.953908044000052, 66.97021571300007 24.954027017000044, 66.96939580267978 24.95418700007917, 66.96935898313636 24.956430877613162)))"
